sample_idx,method,true_label,pred_orig,target_class,pred_cf,l2_norm,normalized_distance,sparsity,range_validity,autocorr,keane_validity,keane_proximity,keane_compactness,validity,temporal_consistency,confidence,elapsed,n_iter,error
73,imfact_default,2,2,0,0,15.447345733642578,0.11140254077336363,0.0,0.9447265625,0.06356287432596072,1.0,15.447345733642578,0.07421875,1.0,1.0,0.4088766276836395,0.4677255153656006,25.0,
73,native_guide,2,2,0,0,19.294221878051758,0.13914528596189696,0.44804687499999996,0.9283203125,0.8056000619839293,1.0,19.294221878051758,0.4720703125,1.0,1.0,0.4507910907268524,7.262780666351318,,
73,wachter,2,2,0,2,0.02517213299870491,0.0001815353667286308,0.09140625000000002,0.9873046875,0.999999975311671,0.0,0.02517213299870491,1.0,0.0,1.0,0.5760780572891235,7.3129191398620605,,
73,glacier,2,2,0,0,8.114867210388184,0.05852246987046159,0.0003906249999999778,0.9708984375,0.9674773587929542,1.0,8.114867210388184,0.6935546875,1.0,1.0,0.5759327411651611,1.7584116458892822,,
175,imfact_default,1,1,0,0,24.798410415649414,0.12438500279844654,0.0001953125000000444,0.922265625,0.8806437675532435,1.0,24.798410415649414,0.034765625,1.0,1.0,0.4025583863258362,0.3394331932067871,27.0,
175,native_guide,1,1,0,0,24.164121627807617,0.12120350804421275,0.3177734375,0.8724609375,0.9649778792073256,1.0,24.164121627807617,0.3390625,1.0,1.0,0.5298270583152771,12.390966415405273,,
175,wachter,1,1,0,0,5.1899333000183105,0.026031905159499432,0.0,0.8962890625,0.9986943027499426,1.0,5.1899333000183105,0.1484375,1.0,1.0,0.34205320477485657,1.5420958995819092,,
175,glacier,1,1,0,0,9.549036979675293,0.047896497054901094,0.0,0.8529296875,0.9953534111356666,1.0,9.549036979675293,0.537890625,1.0,1.0,0.575790286064148,1.7800545692443848,,
178,imfact_default,1,1,0,0,24.484302520751953,0.13129398213982324,0.0,0.9181640625,0.9254967922086198,1.0,24.484302520751953,0.0380859375,1.0,1.0,0.4165951907634735,0.4578261375427246,28.0,
178,native_guide,1,1,0,0,22.89650535583496,0.12277962023649419,0.4388671875,0.8826171875,0.9165033112512603,1.0,22.89650535583496,0.455078125,1.0,1.0,0.4584169387817383,7.327670335769653,,
178,wachter,1,1,0,0,4.44682502746582,0.02384553798255739,0.0,0.908203125,0.9992620284127266,1.0,4.44682502746582,0.166796875,1.0,1.0,0.3516027629375458,1.6953468322753906,,
178,glacier,1,1,0,0,9.143122673034668,0.04902884139412108,0.0001953125000000444,0.8765625,0.9929316375576204,1.0,9.143122673034668,0.5388671875,1.0,1.0,0.5757737755775452,1.6878256797790527,,
196,imfact_default,1,1,0,0,23.86388397216797,0.14398402416703485,0.0,0.923046875,0.9263820259624189,1.0,23.86388397216797,0.0404296875,1.0,1.0,0.3962774872779846,0.44428014755249023,30.0,
196,native_guide,1,1,0,0,22.0484561920166,0.13303054326360442,0.4638671875,0.876171875,0.9627908550200075,1.0,22.0484561920166,0.48203125,1.0,1.0,0.38177382946014404,4.182547330856323,,
196,wachter,1,1,0,0,3.936831474304199,0.02375308389861666,0.0,0.9068359375,0.9993517894586085,1.0,3.936831474304199,0.2001953125,1.0,1.0,0.3541262149810791,1.6998670101165771,,
196,glacier,1,1,0,0,9.033858299255371,0.05450626868612728,0.0001953125000000444,0.8708984375,0.9927321547289509,1.0,9.033858299255371,0.5220703125,1.0,1.0,0.5757954716682434,1.4763262271881104,,
291,imfact_default,0,0,1,1,17.87928009033203,0.04553814074175616,0.0,0.97421875,0.679353644550729,1.0,17.87928009033203,0.0828125,1.0,1.0,0.4284951388835907,0.8468368053436279,17.0,
291,native_guide,0,0,1,1,18.56789207458496,0.04729202061258644,0.495703125,0.9443359375,0.9588273683390672,1.0,18.56789207458496,0.519921875,1.0,1.0,0.37593868374824524,14.009409189224243,,
291,wachter,0,0,1,1,27.79452896118164,0.07079206574819098,0.0,0.9609375,0.6802994034550744,1.0,27.79452896118164,0.0859375,1.0,1.0,0.5760173797607422,0.03342080116271973,,
