sample_idx,config,true_label,pred_orig,target_class,pred_cf,l2_norm,normalized_distance,sparsity_pct,n_components_changed,range_validity,autocorr,temporal_consistency,confidence,validity,elapsed,n_iter,error
15,imfact_baseline,0,0,1,1,6.15883731842041,0.08191808112905939,0.0,4,0.9553990610328639,0.9999891196610509,1.0,0.7085850238800049,1.0,0.03390955924987793,4,
15,hungarian_matching,0,0,1,1,11.92206859588623,0.15857424574976461,0.0,2,0.9295774647887324,0.9999764864983293,1.0,0.6163671612739563,1.0,0.009642839431762695,2,
15,composite_reference,0,0,1,1,11.92206859588623,0.15857424574976461,0.0,2,0.9295774647887324,0.9999764864983293,1.0,0.6163671612739563,1.0,0.030444860458374023,2,
15,fourier_decomposition,0,0,1,1,3.357297897338867,0.044655084605995495,0.0023474178403756207,1,0.9624413145539906,0.999414239306881,1.0,0.6520816683769226,1.0,0.010267257690429688,1,
28,imfact_baseline,0,0,1,1,17.331270217895508,0.19619662358612408,0.0,3,0.8262910798122066,0.9999981767527023,1.0,0.7189393043518066,1.0,0.008723258972167969,3,
28,hungarian_matching,0,0,1,1,19.36029624938965,0.2191659761807455,0.0,2,0.9530516431924883,0.9999087931819935,1.0,0.684302031993866,1.0,0.02343273162841797,10,
28,composite_reference,0,0,1,0,4.982377052307129,0.05640241844976222,0.0,4,0.960093896713615,0.9999965826685255,1.0,0.7213653922080994,0.0,0.02049732208251953,4,
28,fourier_decomposition,0,0,1,0,5.100963115692139,0.057744858152565165,0.0,2,0.9577464788732394,0.9999826731465078,1.0,0.7229915261268616,0.0,0.01091456413269043,4,
164,imfact_baseline,1,1,0,0,3.935102939605713,0.04841343102192133,0.0,1,0.9624413145539906,0.9999717653600907,1.0,0.6620926260948181,1.0,0.00768589973449707,1,
164,hungarian_matching,1,1,0,0,8.653470993041992,0.10646334478452367,0.0,1,0.8896713615023474,0.999916786453441,1.0,0.602621853351593,1.0,0.009512901306152344,1,
164,composite_reference,1,1,0,0,8.653470993041992,0.10646334478452367,0.0,1,0.8896713615023474,0.999916786453441,1.0,0.602621853351593,1.0,0.01648259162902832,1,
164,fourier_decomposition,1,1,0,0,2.8602075576782227,0.035189031501144746,0.0023474178403756207,1,0.960093896713615,0.9999996586311276,1.0,0.6583734750747681,1.0,0.009673357009887695,1,
252,imfact_baseline,1,1,0,0,17.364852905273438,0.2682112135995976,0.0,2,0.8262910798122066,0.9999564141566596,1.0,0.719622015953064,1.0,0.009007930755615234,2,
252,hungarian_matching,1,1,0,0,3.7923216819763184,0.05857482388313493,0.0,1,0.9859154929577465,0.9999971531896653,1.0,0.6704476475715637,1.0,0.00915980339050293,1,
252,composite_reference,1,1,0,0,3.7923216819763184,0.05857482388313493,0.0,1,0.9859154929577465,0.9999971531896653,1.0,0.6704476475715637,1.0,0.017917871475219727,1,
252,fourier_decomposition,1,1,0,0,19.28034019470215,0.2977971348472379,0.0,3,1.0,0.9719958133929945,1.0,0.7310071587562561,1.0,0.009352922439575195,3,
364,imfact_baseline,1,1,0,0,19.939292907714844,0.3130713522006438,0.0,2,1.0,0.9995534792245758,1.0,0.7298516035079956,1.0,0.01635122299194336,8,
364,hungarian_matching,1,1,0,0,12.73534870147705,0.19996059324528348,0.0,1,0.8051643192488263,0.9999285766052698,1.0,0.6948086023330688,1.0,0.008264780044555664,1,
364,composite_reference,1,1,0,0,12.73534870147705,0.19996059324528348,0.0,1,0.8051643192488263,0.9999285766052698,1.0,0.6948086023330688,1.0,0.01612401008605957,1,
364,fourier_decomposition,1,1,0,1,1.2517666816711426,0.019654272068939205,0.0023474178403756207,2,1.0,0.9999290899394045,1.0,0.6916104555130005,0.0,0.011170148849487305,4,
404,imfact_baseline,0,0,1,1,5.797184467315674,0.068230092623847,0.0,4,0.9272300469483568,0.9999814893190283,1.0,0.7251283526420593,1.0,0.03616070747375488,4,
404,hungarian_matching,0,0,1,1,5.971171855926514,0.0702778410967873,0.0,3,0.9507042253521126,0.9999855407949727,1.0,0.7231354117393494,1.0,0.011293411254882812,3,
404,composite_reference,0,0,1,1,6.516289710998535,0.07669361791951428,0.0,3,0.9131455399061033,0.9999905558871033,1.0,0.7107211947441101,1.0,0.0184478759765625,3,
404,fourier_decomposition,0,0,1,1,6.791000843048096,0.07992683675017578,0.0,2,0.9530516431924883,0.9998583214125717,1.0,0.6924447417259216,1.0,0.009575366973876953,2,
554,imfact_baseline,1,1,0,0,17.954225540161133,0.2719643253683631,0.0,2,0.6596244131455399,0.9999963680027276,1.0,0.6924619078636169,1.0,0.010458230972290039,2,
